[23:19:31] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:19:31] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:19:46] Can't kekulize mol.  Unkekulized atoms: 2 5

[23:19:52] Can't kekulize mol.  Unkekulized atoms: 3 14

[23:19:52] Can't kekulize mol.  Unkekulized atoms: 2 5

[23:19:53] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:19:57] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:19:59] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[05/10/20 23:20:10 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[23:20:27] Can't kekulize mol.  Unkekulized atoms: 2 5

[23:20:35] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 8 9

[23:20:53] Can't kekulize mol.  Unkekulized atoms: 0 2 4 5 6 9

[23:20:54] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:20:54] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:20:54] Can't kekulize mol.  Unkekulized atoms: 3 14

[23:20:54] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:20:54] Can't kekulize mol.  Unkekulized atoms: 3 14

[23:20:58] Can't kekulize mol.  Unkekulized atoms: 3 6

[23:21:03] Can't kekulize mol.  Unkekulized atoms: 3 17

[23:21:29] Can't kekulize mol.  Unkekulized atoms: 3 5 8 9 10 11 12 14

[23:21:30] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:21:30] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:21:34] Can't kekulize mol.  Unkekulized atoms: 3 11

[23:21:34] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:21:41] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 8 10 11 13 14 17

[23:21:43] Can't kekulize mol.  Unkekulized atoms: 1 2 7 10 15

[23:21:50] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:21:51] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:21:51] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:21:51] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:21:56] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:21:56] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:21:57] Can't kekulize mol.  Unkekulized atoms: 3 6

[23:22:01] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:22:03] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:22:03] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:22:03] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:22:03] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:22:08] Can't kekulize mol.  Unkekulized atoms: 3 12

[23:22:17] Can't kekulize mol.  Unkekulized atoms: 3 11 12 14 15 18

[05/10/20 23:22:21 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[23:22:23] Can't kekulize mol.  Unkekulized atoms: 2 5 22 23 25 26

[23:22:29] Can't kekulize mol.  Unkekulized atoms: 2 5

[23:22:36] Can't kekulize mol.  Unkekulized atoms: 3 8

[23:22:39] Can't kekulize mol.  Unkekulized atoms: 3 6

[23:22:41] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:22:46] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 8 10

[23:22:50] Can't kekulize mol.  Unkekulized atoms: 3 11 12 14 15 18

[23:22:50] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:22:52] Can't kekulize mol.  Unkekulized atoms: 3 8

[23:22:53] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:22:53] Can't kekulize mol.  Unkekulized atoms: 3 9

[05/10/20 23:22:58 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[23:23:01] Can't kekulize mol.  Unkekulized atoms: 3 9

